Gene	ENC
KAF1768190.1	52.1898370136635
KAF1768191.1	53.4832017746087
KAF1768192.1	51.4747470377573
KAF1768193.1	53.962367154625
KAF1768194.1	55.5946734934846
KAF1768195.1	53.3983020678697
KAF1768196.1	61
KAF1768197.1	48.7891144479733
KAF1768198.1	53.4058102966883
KAF1768199.1	52.4438978407982
KAF1768200.1	53.9712377257695
KAF1768201.1	49.2433748202101
KAF1768202.1	48.2386310694835
KAF1768203.1	57.2764912538995
KAF1768204.1	53.8567902960416
KAF1768205.1	49.174221976137
KAF1768206.1	56.8559291292444
KAF1768207.1	47.6854748125945
KAF1768208.1	52.900173033125
KAF1768209.1	51.396684945117
KAF1768210.1	50.1607760625438
KAF1768211.1	52.90628594056
KAF1768212.1	53.1831932720821
KAF1768213.1	48.6276188238929
KAF1768214.1	50.5164128782426
KAF1768215.1	52.3182155755627
KAF1768216.1	49.874144161524
KAF1768217.1	50.1349000032182
KAF1768218.1	56.3585990871475
KAF1768219.1	51.8801960274891
KAF1768220.1	49.7820535730076
KAF1768221.1	57.5956149960232
KAF1768222.1	49.5429962768115
KAF1768223.1	54.2658232713856
KAF1768224.1	49.893347736414
KAF1768225.1	44.213214779475
KAF1768226.1	38.5097824656107
KAF1768227.1	51.5420218727299
KAF1768228.1	50.8931136830433
KAF1768229.1	43.03724169947
KAF1768230.1	44.3028213957796
KAF1768231.1	40.524536953577
KAF1768232.1	45.2942005013347
KAF1768233.1	51.4000497843682
KAF1768234.1	55.3946937233208
KAF1768235.1	44.9155625338774
KAF1768236.1	50.6469975925229
KAF1768237.1	52.6977034915957
KAF1768238.1	47.5629137220442
KAF1768239.1	48.7095069357903
KAF1768240.1	51.4757103057404
KAF1768241.1	56.23281824857
KAF1768242.1	56.7587952293021
KAF1768243.1	49.2692983551036
KAF1768244.1	53.5396703030005
KAF1768245.1	43.1176621959482
KAF1768246.1	48.7269614218487
KAF1768247.1	53.7086338911418
KAF1768248.1	52.207729469142
KAF1768249.1	51.3976431799477
KAF1768250.1	43.9477040844521
KAF1768251.1	54.9185438716278
KAF1768252.1	50.8911486675448
KAF1768253.1	51.495670791411
KAF1768254.1	42.7498493594134
KAF1768255.1	49.7311514484025
KAF1768256.1	58.6081318272806
KAF1768257.1	53.9134198750356
KAF1768258.1	49.5070216128832
KAF1768259.1	52.6680020629314
KAF1768260.1	53.950469063504
KAF1768261.1	49.5714391736681
KAF1768262.1	51.9967974834497
KAF1768263.1	58.8265254235777
KAF1768264.1	55.6867183765575
KAF1768265.1	57.1415023048139
KAF1768266.1	42.1666453846321
KAF1768267.1	55.7755263663243
KAF1768268.1	60.9872659505157
KAF1768269.1	53.8979795025295
KAF1768270.1	46.4650331648163
KAF1768271.1	46.6028999071679
KAF1768272.1	48.52622022687
KAF1768273.1	45.1068550327729
KAF1768274.1	37.9110727342136
KAF1768275.1	49.4546769665292
KAF1768276.1	56.2300773985193
KAF1768277.1	58.4971299840476
KAF1768278.1	49.0462486418273
KAF1768279.1	48.5551713771326
KAF1768280.1	50.4885050542946
KAF1768281.1	48.6366926990884
KAF1768282.1	54.7833772401759
KAF1768283.1	46.204031307762
KAF1768284.1	47.8411465379972
KAF1768285.1	54.0044325365959
KAF1768286.1	55.6761957713558
KAF1768287.1	52.3902600281821
KAF1768288.1	44.123627406678
KAF1768289.1	49.6035719031678
KAF1768290.1	58.8937388880379
KAF1768291.1	48.5503905588252
KAF1768292.1	54.7676019695111
KAF1768293.1	55.2546933364625
KAF1768294.1	48.8219115825595
KAF1768295.1	52.4434109502832
KAF1768296.1	55.0351548025707
KAF1768297.1	57.4946417540129
KAF1768298.1	56.8757539277796
KAF1768299.1	60.7710804169494
KAF1768300.1	60.0375080692272
KAF1768301.1	49.3748529060183
KAF1768302.1	44.3045628124362
KAF1768303.1	52.9287152338009
KAF1768304.1	56.7282398452611
KAF1768305.1	61
KAF1768306.1	51.0552878303951
KAF1768307.1	33.1530915694203
KAF1768308.1	58.4887369493956
KAF1768309.1	54.4507495439745
KAF1768310.1	53.4221882139319
KAF1768311.1	48.6951424004536
KAF1768312.1	49.3555823270294
KAF1768313.1	53.5418931424232
KAF1768314.1	55.6544866676985
KAF1768315.1	52.4075671775318
KAF1768316.1	48.3036727993487
KAF1768317.1	51.651161574296
KAF1768318.1	52.8025803287928
KAF1768319.1	53.6375432380735
KAF1768320.1	47.8948325231988
KAF1768321.1	47.2396838949217
KAF1768322.1	54.0405905236376
KAF1768323.1	55.2594264741347
KAF1768324.1	50.0303155416386
KAF1768325.1	48.0821982275201
KAF1768326.1	47.7336649953469
KAF1768327.1	45.0769800359409
KAF1768328.1	56.8777063918812
KAF1768329.1	50.9522042538157
KAF1768330.1	35.2119303612947
KAF1768331.1	58.012158581269
KAF1768332.1	58.0580602312125
KAF1768333.1	51.2445922157033
KAF1768334.1	61
KAF1768335.1	48.9385635468908
KAF1768336.1	50.2438112007847
KAF1768337.1	54.0039867852623
KAF1768338.1	55.0635010271464
KAF1768339.1	51.6711282959008
KAF1768340.1	49.4041012321066
KAF1768341.1	52.2924717482165
KAF1768342.1	59.2081407223805
KAF1768343.1	59.4683896798427
KAF1768344.1	52.3720110435807
KAF1768345.1	56.334952110221
KAF1768346.1	42.6090200343841
KAF1768347.1	55.8293221268675
KAF1768348.1	53.3908336592628
KAF1768349.1	53.8377795626989
KAF1768350.1	52.5500137413243
KAF1768351.1	56.8488195539809
KAF1768352.1	59.5360349130071
KAF1768353.1	57.7438991274001
KAF1768354.1	42.8091490661739
KAF1768355.1	61
KAF1768356.1	38.0095533372462
KAF1768357.1	43.6740217398761
KAF1768358.1	61
KAF1768359.1	54.6199370734918
KAF1768360.1	48.5422256004655
KAF1768361.1	40.3076316511732
KAF1768362.1	44.6563515928103
KAF1768363.1	55.3063229929014
KAF1768364.1	38.852226761525
KAF1768365.1	40.406578266199
KAF1768366.1	54.031754597523
KAF1768367.1	50.4839311139473
KAF1768368.1	50.6894273435533
KAF1768369.1	54.2213254147988
KAF1768370.1	53.1526167486548
KAF1768371.1	47.6358697301692
KAF1768372.1	55.1299608063857
KAF1768373.1	42.9183097700625
KAF1768374.1	56.2468640667334
KAF1768375.1	54.939108682278
KAF1768376.1	45.4487035905859
KAF1768377.1	58.6327449010677
KAF1768378.1	45.4693161630718
KAF1768379.1	49.2008093980212
KAF1768380.1	56.3113485708697
KAF1768381.1	47.0335880183064
KAF1768382.1	46.8030442274789
KAF1768383.1	50.731575101603
