"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gxs"
"latens_genome_00000183",83.4472066878963,-0.340215500874584,0.996826558636633,-0.341298591943516,0.732878807811179,0.802018317982045,0
"latens_genome_00010801",317.218807714608,-1.5658407102792,0.436137128838884,-3.59024858637442,0.000330362745444348,0.00219680704613948,-1
"latens_genome_00013352",20.1132938435132,-0.814153182933864,1.36506535092162,-0.596420663951501,0.550894239393293,0.639748148972857,0
"latens_genome_00015419",1099.58135800817,-1.18331378329514,0.614377382483217,-1.92603734615421,0.0540997108190824,0.117422241362,0
"latens_genome_00007546",881.765103775887,-1.97476579028699,0.841600787167777,-2.34644004663141,0.0189537152142711,0.0533360611420458,0
"latens_genome_00007547",786.106562315241,-2.02557010173984,0.985281148177199,-2.05582955229297,0.0397989484281025,0.0931616640334955,0
"latens_genome_00007549",493.773276436498,-1.68510515624629,1.00214974366498,-1.68149038294782,0.0926677028879457,0.17463011157945,0
"latens_genome_00007550",161.110128585414,-1.05740018217862,0.87058627200504,-1.2145840293844,0.224524783102066,0.338245127790125,0
"latens_genome_00007552",3.16554015685168,-1.53960461158218,1.31896580770345,-1.1672816706772,0.243096638275235,0.361014068789965,0
"latens_genome_00007555",2223.98587170993,-1.6765966843335,0.55655235738615,-3.01246892962172,0.00259131961488987,0.0110421946038573,-1
"latens_genome_00012688",162.890125334873,-1.55728817811034,0.503739649812086,-3.09145444217318,0.0019917854396777,0.00912028069747159,-1
"latens_genome_00015729",137.991641422147,-1.36550856537024,0.449100693118569,-3.04053987511821,0.00236154418757685,0.0103156992963608,-1
"latens_genome_00018851",2.46759068740575,-0.839913483476999,1.48747121058484,-0.564658648517147,0.572305965614947,0.656784398003359,0
"latens_genome_00019522",220.938860058599,-1.53733416360053,0.445028104172524,-3.45446534541681,0.000551385073491161,0.00323396638609423,-1
"latens_genome_00021715",8.11372272608687,-1.08215657625561,0.863748415861619,-1.25286085205276,0.21025635111674,0.324297921049474,0
"latens_genome_00002826",1655.34802196023,-1.30671317381806,0.348385804835917,-3.75076468581577,0.000176296093050333,0.00132412317370178,-1
"latens_genome_00009503",89.2810023160479,-1.51308068700286,0.537858372257397,-2.81315819376845,0.00490575102629517,0.0179705406015865,-1
"latens_genome_00010447",230.230714943715,-1.50171711766463,0.536028295634611,-2.80156314488347,0.0050855687509009,0.0183080475032432,-1
