"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gxs"
"remanei_genome_00008431",45.0902344879414,-1.20517219888566,0.570868373495742,-2.11112097786346,0.0347619147506307,0.0654842186128089,0
"remanei_genome_00008437",56.2149676825232,-1.46849799271939,0.427138878158405,-3.43798719294945,0.000586055415921381,0.00199453113926835,-1
"remanei_genome_00008439",23.5051586374807,-3.91525434587893,0.765886921192362,-5.11205275549491,3.1867679660201e-07,1.92455790889057e-06,-1
"remanei_genome_00010647",398.730269783856,-1.29515319756001,0.418635604405902,-3.09374831937193,0.00197645074879719,0.00563841978644929,-1
"remanei_genome_00010649",2083.11911943816,-2.46603993845741,0.615624278178251,-4.00575485059637,6.18197397779543e-05,0.000262627308298068,-1
"remanei_genome_00013180",510.074931587734,-1.73239563593658,0.746667698169975,-2.32016952143845,0.0203317086750866,0.0417205870041867,-1
"remanei_genome_00013517",1147.36397616421,-1.79021251000442,0.220618311441711,-8.11452366898116,4.87693975507735e-16,1.36554313142166e-14,-1
"remanei_genome_00013520",61.9619327172866,-1.81860149783662,0.268510017270503,-6.772937249505,1.26193696208134e-11,1.46670409177756e-10,-1
"remanei_genome_00013523",53.3552917393364,-2.15050200639563,0.356417393512518,-6.03366178401757,1.60285360642076e-09,1.39064481909182e-08,-1
"remanei_genome_00013557",33.2730135930531,-2.08888168657806,0.301820314508538,-6.92094463548434,4.4864181667099e-12,5.75756998061104e-11,-1
"remanei_genome_00013561",17.7839598414078,-1.9111573514673,0.370919703664471,-5.15248268718587,2.5706035563484e-07,1.59948665728345e-06,-1
"remanei_genome_00004457",804.303684198728,-2.04731725010833,0.239578938583768,-8.54548092670715,1.28002102082432e-17,4.92808093017365e-16,-1
"remanei_genome_00004739",2157.27856617307,-1.98275200535704,0.242739990734433,-8.16821323655008,3.12990338885775e-16,9.64010243768188e-15,-1
"remanei_genome_00007799",420.220973418815,-2.07517823174781,0.199568841542446,-10.3983077503932,2.52375271654034e-25,7.77315836694426e-23,-1
"remanei_genome_00007828",114.860361962228,-1.83537956122176,0.296523284890377,-6.18966420090848,6.02925176692923e-10,5.5433120722812e-09,-1
"remanei_genome_00007866",495.475491153949,-2.25166438682592,0.191437889933866,-11.7618533489049,6.13721272740299e-32,3.78052304008024e-29,-1
"remanei_genome_00008357",902.605369742474,-2.29517217824041,0.228836741927127,-10.0297363041959,1.12817495277625e-23,1.38991154182034e-21,-1
"remanei_genome_00008386",2519.92108423626,-1.93532972106918,0.203719239641815,-9.4999850012789,2.09920534889602e-21,1.8473007070285e-19,-1
"remanei_genome_00009206",1192.06066734555,-2.18114788026279,0.261367564742593,-8.34513602485789,7.11319647537494e-17,2.43429390490609e-15,-1
"remanei_genome_00010128",20.3740915619417,-1.42556907331841,0.487076156478768,-2.92678886937171,0.00342481290112984,0.00886422162645369,-1
"remanei_genome_00011995",156.50917914615,-1.97559817204424,0.333135475576593,-5.93031459235876,3.02354821683425e-09,2.48334093542653e-08,-1
"remanei_genome_00004230",14.4962241723775,-0.661265973648936,0.706498554504232,-0.935976399998388,0.349285338798237,0.446389561617664,0
"remanei_genome_00004239",10.3661333477108,0.320238651620183,0.844676613627168,0.379125746414394,0.704594488099039,0.764137684276422,0
"remanei_genome_00004428",22.0803459153078,-0.364334550570129,0.671574123584543,-0.542508321531931,0.587468376400564,0.66481140778005,0
"remanei_genome_00004472",58.7363142996647,-1.07672902765328,0.543399610496854,-1.9814681623875,0.0475387963420241,0.0846355449326209,0
"remanei_genome_00004473",4.80221455308872,0.157076603118649,1.14020380979217,0.137761864825973,0.890428624381626,0.908119259303115,0
"remanei_genome_00019770",99.2123350726947,-0.649750139053749,0.683295324216528,-0.95090675440924,0.341651712727616,0.440032997948911,0
"remanei_genome_00019781",7.79089697257055,0.623818766391552,1.12419552489778,0.554902374698812,0.57896143752628,0.656796032258174,0
"remanei_genome_00007944",2.39575431850651,-4.47264026228816,2.21553815709002,-2.01876020414052,0.0435121491648036,0.0788337761338795,0
"remanei_genome_00010091",149.679637643885,-3.17084904646309,0.752324973315817,-4.2147332056356,2.50073632520109e-05,0.000117591876055257,-1
"remanei_genome_00020044",16.497549306535,-2.65871911368015,1.2036083270725,-2.20895706176018,0.02717762763246,0.0533166198139979,0
"remanei_genome_00000199",335.38634260926,-2.88352470370829,0.516304910398292,-5.58492597229776,2.33799781859943e-08,1.6365984730196e-07,-1
"remanei_genome_00000669",9559.84202924861,-2.50827861891869,0.79399283667801,-3.15906958230642,0.00158273696839186,0.00462069181293549,-1
"remanei_genome_00011893",7.67390413539921,-2.35331616944315,1.22502192867568,-1.92104003557489,0.0547266603671343,0.0963189222461563,0
"remanei_genome_00012691",1.30930300749739,1.68069536241733,2.29244453337466,0.733145486378776,0.463469699817316,0.559798696249935,0
"remanei_genome_00002285",10.0496227214672,0.360955794132647,0.684457606453531,0.527360337191537,0.59794338126582,0.673369511626591,0
"remanei_genome_00003886",9.17754679367991,-0.00884973583336246,0.833718034246827,-0.0106147827800765,0.991530787746591,0.991530787746591,0
"remanei_genome_00011861",2.30859731101385,2.1319990611133,1.10152166194569,1.93550352641037,0.0529285363473673,0.0934211415185623,0
"remanei_genome_00019817",3.41980456360396,-2.45358751101713,1.6632560360674,-1.47517126516395,0.140166504698884,0.208556924865973,0
"remanei_genome_00020036",6.4362696919719,-0.998626304538231,1.02209429769874,-0.977039307221117,0.328549692909848,0.427878669836081,0
"remanei_genome_00013174",11825.4439707668,-1.80255146306224,0.222684445902831,-8.09464466974396,5.7431750146975e-16,1.5381720908929e-14,-1
"remanei_genome_00013179",300.411126696771,-1.81609390694463,0.198352719449576,-9.15588105867288,5.3916025356686e-20,3.32122716197186e-18,-1
"remanei_genome_00013182",6334.50414885897,-1.73259742337158,0.194884757201527,-8.89036909941565,6.09062488685183e-19,3.41074993663702e-17,-1
"remanei_genome_00013549",4997.23714869965,-1.62066835448747,0.221294102332579,-7.32359487851057,2.41414767182909e-13,4.01922963742357e-12,-1
"remanei_genome_00013551",102.018004671839,-1.52940071383774,0.385825425555611,-3.96397078195486,7.37132785959055e-05,0.000302715864100519,-1
"remanei_genome_00013588",2172.14077592411,-1.62515334658189,0.215875814610582,-7.52818628392207,5.1449956422172e-14,9.90411661126811e-13,-1
