,Comparison,Z,P.unadj,P.adj
1,M0 - M1,5.28740456605583,0.000000124064049360719,0.00000818822725780743
2,M0 - M10,-0.49146549713331,0.623097249426722,1
3,M1 - M10,-9.38988514128748,0.00000000000000000000600657222212776,0.000000000000000000396433766660432
4,M0 - M11,-1.04574307519103,0.295679669398441,1
5,M1 - M11,-7.25172539777093,0.000000000000411495523034173,0.0000000000271587045202554
6,M10 - M11,-0.933219126253686,0.350706841475842,1
7,M0 - M2,-1.48873770850091,0.136556451127737,1
8,M1 - M2,-11.4016661652864,0.00000000000000000000000000000410192529272626,0.000000000000000000000000000270727069319933
9,M10 - M2,-2.39008688652455,0.0168443873186374,1
10,M11 - M2,-0.194925084038312,0.845451596615477,1
11,M0 - M3,-0.828627565905073,0.407315184626808,1
12,M1 - M3,-6.48061955213399,0.0000000000913467403636479,0.00000000602888486400076
13,M10 - M3,-0.617343701424097,0.537008047513888,1
14,M11 - M3,0.174902801737465,0.861156008742696,1
15,M2 - M3,0.399066199963208,0.68984442648654,1
16,M0 - M4,-1.76095001208739,0.0782468640504075,1
17,M1 - M4,-10.5829154344791,0.0000000000000000000000000357652940794863,0.00000000000000000000000236050940924609
18,M10 - M4,-2.51734390079458,0.0118243352368287,0.780406125630697
19,M11 - M4,-0.591143236324262,0.554424452294481,1
20,M2 - M4,-0.767268978206537,0.442921608694825,1
21,M3 - M4,-0.746152359131212,0.455575383230073,1
22,M0 - M5,2.1599987147172,0.0307727690665017,1
23,M1 - M5,-6.13200682393009,0.000000000867773806447638,0.0000000572730712255441
24,M10 - M5,6.95393070811238,0.00000000000355246147393929,0.000000000234462457279993
25,M11 - M5,4.14706046146696,0.0000336771152451982,0.00222268960618308
26,M2 - M5,11.8896640678176,0.0000000000000000000000000000000133944232942295,0.000000000000000000000000000000884031937419145
27,M3 - M5,3.44978410707714,0.000561035035797096,0.0370283123626083
28,M4 - M5,8.60607281956761,0.00000000000000000756062448769173,0.000000000000000499001216187654
29,M0 - M6,-0.466821068169443,0.64062790118505,1
30,M1 - M6,-9.18264573327917,0.000000000000000000042062730010665,0.00000000000000000277614018070389
31,M10 - M6,0.0427106854010265,0.965932161625466,1
32,M11 - M6,0.945363040880772,0.344473564183339,1
33,M2 - M6,2.31374933752552,0.0206814758413529,1
34,M3 - M6,0.632415247196175,0.527115573376719,1
35,M4 - M6,2.47624595615854,0.0132772076779913,0.876295706747426
36,M5 - M6,-6.47983129519396,0.000000000091825232069733,0.00000000606046531660238
37,M0 - M7,1.86928935567736,0.0615825682283155,1
38,M1 - M7,-5.01234654764878,0.000000537702522576049,0.0000354883664900192
39,M10 - M7,4.17523597952296,0.0000297677316987794,0.00196467029211944
40,M11 - M7,3.50918573958957,0.000449480889021196,0.029665738675399
41,M2 - M7,6.22247349023111,0.000000000489377490289868,0.0000000322989143591313
42,M3 - M7,2.99541862780032,0.0027406841566489,0.180885154338828
43,M4 - M7,5.86133265674362,0.00000000459167064566738,0.000000303050262614047
44,M5 - M7,-0.146072321670187,0.883864296131746,1
45,M6 - M7,4.03902337998751,0.0000536742155018607,0.00354249822312281
46,M0 - M8,5.53891280846854,0.0000000304355115034014,0.00000200874375922449
47,M1 - M8,-0.362464225255537,0.717005152665347,1
48,M10 - M8,12.1377911253358,0.000000000000000000000000000000000665997093399838,0.0000000000000000000000000000000439558081643893
49,M11 - M8,7.87384208651347,0.00000000000000343912978957664,0.000000000000226982566112058
50,M2 - M8,15.5707943108053,0.00000000000000000000000000000000000000000000000000000114970576798981,0.0000000000000000000000000000000000000000000000000000758805806873274
51,M3 - M8,6.88863808767834,0.00000000000563290399539422,0.000000000371771663696018
52,M4 - M8,13.1118156947443,0.00000000000000000000000000000000000000281770765662886,0.000000000000000000000000000000000000185968705337505
53,M5 - M8,8.36337219968286,0.0000000000000000609505451518787,0.00000000000000402273598002399
54,M6 - M8,11.6907770225254,0.000000000000000000000000000000142080720840951,0.00000000000000000000000000000937732757550279
55,M7 - M8,5.76953672440855,0.00000000794897546026589,0.000000524632380377549
56,M0 - M9,3.02003081179337,0.00252748971682692,0.166814321310577
57,M1 - M9,-4.77478613907692,0.00000179898327786399,0.000118732896339024
58,M10 - M9,9.06361914850442,0.000000000000000000126192439363479,0.00000000000000000832870099798963
59,M11 - M9,5.1568801040986,0.00000025109846908606,0.0000165724989596799
60,M2 - M9,14.337395690856,0.000000000000000000000000000000000000000000000127760492578771,0.00000000000000000000000000000000000000000000843219251019886
61,M3 - M9,4.34947061891631,0.0000136466565350355,0.000900679331312345
62,M4 - M9,10.3353955244502,0.000000000000000000000000487397233420429,0.0000000000000000000000321682174057483
63,M5 - M9,3.20611189712044,0.00134541658867374,0.0887974948524666
64,M6 - M9,8.47828392957357,0.0000000000000000228539693545008,0.00000000000000150836197739705
65,M7 - M9,1.70167485124912,0.0888163373025415,1
66,M8 - M9,-6.34067215227493,0.000000000228764888195999,0.0000000150984826209359
