averages.Module_num,averages.average_dn_ds,averages.average_enc,medians.Module_num,medians.median_dn_ds,medians.median_enc,modes.Module_num,modes.mode_dn_ds,modes.mode_enc
CR0,0.168988528301871,47.746920121926,CR0,0.0664278544170551,48.7138916227358,CR0,0.000000000815048785616743,46.9004651194127
CR1,0.10525506005705,49.5321453553192,CR1,0.0537623382199052,49.7764855189533,CR1,0.0518672563054074,43.3243564620446
CR2,0.151913352142348,47.9890505413731,CR2,0.137329465063176,48.3238080781151,CR2,0.0299276743745949,48.5435172900701
CR3,0.175164657379648,50.4891813875718,CR3,0.123344779475074,51.1881921646701,CR3,0.125639141071126,61
CR4,0.0818410756423867,52.6112299515711,CR4,0.0819994528627809,51.2144078211292,CR4,0.0259694861211748,47.9938464843208
CR5,0.142981833656986,50.5678533621824,CR5,0.0905959251992115,51.0507541186164,CR5,0,61
CR6,0.0306468402767281,49.3779943879486,CR6,0.026668736713998,49.2908874329262,CR6,0.0692498872396805,52.8793417224291
CR7,0.15096304760308,51.8457461446919,CR7,0.149385538803834,53.0126027054733,CR7,0.0226114050424092,45.715840750578
CR8,0.175424472982959,51.6015354143946,CR8,0.107615181028019,52.1134932930715,CR8,0.0269403512984238,50.7222983163425
CR9,0.108563047999351,49.4526112180781,CR9,0.0601844911980591,50.7321630120278,CR9,0.0362876715697596,61
