,diff,lwr,upr,p adj
M1-M0,-0.0667518584426533,-0.110604750015711,-0.0228989668695961,0.0000423584272850608
M10-M0,0.00232237969371715,-0.0367828712604092,0.0414276306478435,0.999999999909359
M11-M0,0.00804796175624665,-0.0402235331251948,0.0563194566376881,0.999994118785704
M2-M0,0.0069171110594717,-0.0312292447217797,0.0450634668407231,0.999986004857292
M3-M0,0.00261842013892481,-0.0484084023210935,0.0536452425989432,0.999999999981646
M4-M0,0.0182274696336495,-0.0221980386613518,0.0586529779286508,0.947760509687832
M5-M0,-0.031971936791341,-0.0696153655597063,0.00567149197702419,0.190237941778759
M6-M0,-0.00476025925226845,-0.0442205516262121,0.0347000331216753,0.99999980567663
M7-M0,-0.0191751989738276,-0.0610468284699292,0.022696430522274,0.94182795170474
M8-M0,-0.0681702106255064,-0.108195100273672,-0.0281453209773404,0.00000172892669492164
M9-M0,-0.0365386006647479,-0.0742739179148623,0.00119671658536651,0.0682751922836212
M10-M1,0.0690742381363705,0.0423340962751252,0.0958143799976158,0
M11-M1,0.0747998201989,0.0358645951107699,0.11373504528703,0.0000000220298865816204
M2-M1,0.073668969502125,0.0483518015332518,0.0989861374709982,0
M3-M1,0.0693702785815781,0.0270671918745711,0.111673365288585,0.00000551553159944262
M4-M1,0.0849793280763028,0.056343052908545,0.113615603244061,0
M5-M1,0.0347799216513123,0.0102270752987341,0.0593327680038905,0.000231748063285186
M6-M1,0.0619915991903849,0.0347348714188521,0.0892483269619176,0
M7-M1,0.0475766594688257,0.0169327711510366,0.0782205477866148,0.000025385706449832
M8-M1,-0.00141835218285311,-0.0294862399894229,0.0266495356237167,0.999999999984495
M9-M1,0.0302132577779054,0.00551976263158988,0.0549067529242209,0.00369176975384544
M11-M10,0.0057255820625295,-0.027772123911615,0.039223288036674,0.999992388663173
M2-M10,0.00459473136575454,-0.0111247961981077,0.0203142589296168,0.998499461102012
M3-M10,0.00029604044520766,-0.0370629704866605,0.0376550513770758,1
M4-M10,0.0159050899399324,-0.00473905713255352,0.0365492370124182,0.328285453495392
M5-M10,-0.0342943164850582,-0.0487506928249366,-0.0198379401451797,0
M6-M10,-0.0070826389459856,-0.025766154720013,0.0116008768280418,0.985836199400957
M7-M10,-0.0214975786675448,-0.0448469350633861,0.00185177772829661,0.105790557075533
M8-M10,-0.0704925903192236,-0.0903407861765068,-0.0506443944619404,0
M9-M10,-0.0388609803584651,-0.0535549674078671,-0.0241669933090631,0
M2-M11,-0.00113085069677496,-0.0335039894499891,0.0312422880564392,1
M3-M11,-0.00542954161732184,-0.0522975719120896,0.041438488677446,0.999999873912658
M4-M11,0.0101795078774028,-0.0248504417979001,0.0452094575527058,0.998577606334519
M5-M11,-0.0400198985475877,-0.0717988756045042,-0.00824092149067117,0.00228656962232332
M6-M11,-0.0128082210085151,-0.0467197283118208,0.0211032862947906,0.986248185603705
M7-M11,-0.0272231607300743,-0.0639125189965232,0.00946619753637471,0.388702958475066
M8-M11,-0.0762181723817531,-0.110785027093932,-0.0416513176695739,0
M9-M11,-0.0445865624209946,-0.0764743315701813,-0.0126987932718079,0.00030708424253012
M3-M2,-0.00429869092054688,-0.0406527760419202,0.0320553942008265,0.999999843046245
M4-M2,0.0113103585741778,-0.00745409227190458,0.0300748094202602,0.713893846858171
M5-M2,-0.0388890478508127,-0.0505041511256361,-0.0272739445759894,0
M6-M2,-0.0116773703117401,-0.0282604209624179,0.00490568033893766,0.475293286830626
M7-M2,-0.0260923100332993,-0.047797522570951,-0.00438709749564759,0.00487885214171402
M8-M2,-0.0750873216849781,-0.092972362529038,-0.0572022808409182,0
M9-M2,-0.0434557117242196,-0.0553652483488163,-0.031546175099623,0
M4-M3,0.0156090494947247,-0.0231297781402394,0.0543478771296888,0.977120326533904
M5-M3,-0.0345903569302659,-0.0704163638953357,0.00123565003480397,0.0701112358332129
M6-M3,-0.00737867939119326,-0.0451091673268053,0.0303518085444188,0.999969735046824
M7-M3,-0.0217936191127524,-0.0620392201429402,0.0184519819174354,0.834439551913116
M8-M3,-0.0707886307644312,-0.109109210574373,-0.0324680509544896,0.000000104519221277855
M9-M3,-0.0391570208036727,-0.0750795654461257,-0.00323447616121974,0.0190265018840203
M5-M4,-0.0501994064249905,-0.0679191097409103,-0.0324797031090708,0
M6-M4,-0.0229877288859179,-0.0442967605486273,-0.00167869722320863,0.0216083603046295
M7-M4,-0.0374026686074771,-0.0629015609917364,-0.0119037762232178,0.000104810840241276
M8-M4,-0.0863976802591559,-0.108734912574577,-0.0640604479437348,0
M9-M4,-0.0547660702983974,-0.072680152025687,-0.0368519885711078,0
M6-M5,0.0272116775390726,0.0118207438788907,0.0426026111992545,0.000000504037865778351
M7-M5,0.0127967378175134,-0.00801190272803414,0.033605378363061,0.686638836385324
M8-M5,-0.0361982738341654,-0.0529839211568891,-0.0194126265114416,0
M9-M5,-0.00456666387340687,-0.0147509818506591,0.00561765410384533,0.949744175606261
M7-M6,-0.0144149397215592,-0.0383541641482598,0.00952428470514145,0.715226351280457
M8-M6,-0.063409951373238,-0.0839488145560189,-0.042871088190457,0
M9-M6,-0.0317783414124795,-0.0473926706475095,-0.0161640121774494,0.000000000860872706454074
M8-M7,-0.0489950116516788,-0.0738538849821957,-0.0241361383211619,0.00000000693398494178155
M9-M7,-0.0173634016909203,-0.0383378137179976,0.00361101033615694,0.223178609920493
M9-M8,0.0316316099607585,0.0146408950090368,0.0486223249124802,0.000000077770082929085
