,diff,lwr,upr,p adj
CR1-CR0,-0.0637334682448188,-0.242246158189521,0.114779221699883,0.981152526332127
CR2-CR0,-0.017075176159521,-0.316841142603014,0.282690790283972,0.999999996240889
CR3-CR0,0.00617612907777904,-0.166032782416613,0.178385040572171,0.999999999940548
CR4-CR0,-0.0871474526594823,-0.419707933475185,0.24541302815622,0.998069891298217
CR5-CR0,-0.0260066946448825,-0.19630502369742,0.144291634407655,0.999977596193868
CR6-CR0,-0.138341688025141,-0.438107654468634,0.161424278418352,0.905424300880009
CR7-CR0,-0.0180254806987885,-0.218253404844334,0.182202443446757,0.999999778800342
CR8-CR0,0.00643594468109032,-0.166121215726098,0.178993105088279,0.999999999915479
CR9-CR0,-0.0604254803025175,-0.231262187367052,0.110411226762017,0.982325708038294
CR2-CR1,0.0466582920852978,-0.211078353366817,0.304394937537413,0.999904889880981
CR3-CR1,0.0699095973225979,-0.00898560512464347,0.148804799769839,0.134134317969397
CR4-CR1,-0.0234139844146635,-0.31865120627444,0.271823237445113,0.999999928142745
CR5-CR1,0.0377267735999363,-0.0369060921442802,0.112359639344153,0.845831817073041
CR6-CR1,-0.0746082197803221,-0.332344865232437,0.183128425671793,0.995856486062954
CR7-CR1,0.0457079875460303,-0.0833647259868553,0.174780701078916,0.982179628464624
CR8-CR1,0.0701694129259091,-0.00948306587356096,0.149821891725379,0.13965656177595
CR9-CR1,0.00330798794230132,-0.0725453195120299,0.0791612953966325,0.999999999656052
CR3-CR2,0.0232513052373001,-0.230160034555732,0.276662645030332,0.999999738260424
CR4-CR2,-0.0700722764999613,-0.451068170622177,0.310923617622255,0.999891363549893
CR5-CR2,-0.00893151848536144,-0.261048393794616,0.243185356823893,0.999999999946758
CR6-CR2,-0.12126651186562,-0.474000168574783,0.231467144843543,0.985492931216427
CR7-CR2,-0.000950304539267505,-0.274176620155554,0.272276011077019,1
CR8-CR2,0.0235111208406114,-0.230137004611575,0.277159246292798,0.999999713604673
CR9-CR2,-0.0433503041429965,-0.295831151769642,0.209130543483649,0.999939160465231
CR4-CR3,-0.0933235817372614,-0.384792526735299,0.198145363260776,0.991261402345732
CR5-CR3,-0.0321828237226615,-0.0901413724966282,0.0257757250513051,0.758494964252987
CR6-CR3,-0.14451781710292,-0.397929156895952,0.108893522690112,0.728640846625516
CR7-CR3,-0.0242016097765676,-0.144405162575694,0.0960019430225587,0.999769017012816
CR8-CR3,0.000259815603311286,-0.0640336218976502,0.0645532531042728,1
CR9-CR3,-0.0666016093802965,-0.126123479130425,-0.00707973963016761,0.0148327623172009
CR5-CR4,0.0611407580145998,-0.229203447331868,0.351484963361068,0.999665618174158
CR6-CR4,-0.0511942353656586,-0.432190129487875,0.329801658756558,0.999992571954954
CR7-CR4,0.0691219719606938,-0.239729866803171,0.377973810724558,0.999450344411384
CR8-CR4,0.0935833973405726,-0.19809143926344,0.385258233944586,0.991129148716236
CR9-CR4,0.0267219723569648,-0.263938340002392,0.317382284716322,0.999999733627157
CR6-CR5,-0.112334993380258,-0.364451868689513,0.139781881928996,0.922676904870475
CR7-CR5,0.00798121394609394,-0.109468800040859,0.125431227933047,0.999999981831377
CR8-CR5,0.0324426393259728,-0.0265425942981565,0.0914278729501021,0.768608974259922
CR9-CR5,-0.034418785657635,-0.0881632240541275,0.0193256527388575,0.575947613156949
CR7-CR6,0.120316207326352,-0.152910108289934,0.393542522942639,0.927831366556227
CR8-CR6,0.144777632706231,-0.108870492745955,0.398425758158418,0.727639812449562
CR9-CR6,0.0779162077226234,-0.174564639904022,0.330397055349269,0.993323164759108
CR8-CR7,0.0244614253798789,-0.0962405154298744,0.145163366189632,0.999756177368201
CR9-CR7,-0.042399999603729,-0.16062929118624,0.0758292919787822,0.98056631232147
CR9-CR8,-0.0668614249836078,-0.127383465499937,-0.00633938446727896,0.0173087457405282
