Remanei_Gene	Latens_Gene	dN	dS	dN/dS	ENC	dS_corrected
KAF1745615.1	OZG22595.1	0.0414705081181893	0.311060914685761	0.133319572341911	49.6005023753401	0.378049378507218
KAF1745617.1	OZG22592.1	0.223874902470338	0.204690260536986	1.09372523090753	61	0.204690260536986
KAF1745618.1	OZG22557.1	0.117511584579247	0.311861027926274	0.37680753302406	52.9751873602539	0.359018357914984
KAF1745619.1	OZG22558.1	0.102802082356542	0.345906522158736	0.297196137600917	53.5373394189309	0.389760399303753
KAF1745620.1	OZG22559.1	0.0820057727691572	0.285435512865254	0.287300525242876	50.9976872555204	0.344213503569424
KAF1745621.1	OZG22565.1	0.142453580829519	0.514541870911777	0.276855177163889	51.2728756445112	0.571702733559345
KAF1745623.1	OZG22564.1	0.217695353770007	0.335210161660694	0.649429458497032	54.5740249622733	0.372972018411393
KAF1745626.1	OZG22371.1	0.109367528113697	0.490386503983186	0.223023119978535	58.5040699759499	0.505053687013715
KAF1745628.1	OZG14395.1	0.463039378975409	0.899507154165296	0.514770090300271	58.8581890155802	0.91209337790658
KAF1745629.1	OZG22370.1	0.0889299368508609	0.263742249170024	0.337185024889704	55.6095025542495	0.29541918398013
KAF1745633.1	OZG22372.1	0.174666345164199	0.416904404888663	0.418960181557315	54.2259495260767	0.456711706055645
KAF1745646.1	OZG22374.1	0.176832354905958	0.557528415354215	0.317171914535711	53.5205806310095	0.601480774510926
KAF1745648.1	OZG22552.1	0.350450171132167	0.777715085757586	0.450615112847898	50.3700698141759	0.84018123269877
KAF1745649.1	OZG22339.1	0.118570387544631	0.382813762927115	0.309733868077272	51.8560731919617	0.436547500178944
KAF1745650.1	OZG22333.1	0.112174671687121	0.365775262170175	0.306676484958495	56.7958582793771	0.390480648742912
KAF1745651.1	OZG22334.1	0.182509544496145	0.354483233768345	0.514860865367233	57.2480385812645	0.376531409927859
KAF1745653.1	OZG22335.1	0.29794023166842	1.2969235214632	0.229728451013273	49.2200823767323	1.36614750058128
KAF1745655.1	OZG22336.1	0.0571732257263537	0.545997000069092	0.104713442966021	52.6245465976689	0.595214849460687
KAF1745658.1	OZG22545.1	0.150633123022557	0.341406143191065	0.441213862218808	54.2739039511085	0.380931643056613
KAF1745659.1	OZG22544.1	0.162544498508562	0.318227241506731	0.510781219542839	53.2068025596439	0.364023498673138
KAF1745661.1	OZG22541.1	0.137881667176507	0.300053896804374	0.459523001184025	56.9383387122225	0.323922005662321
KAF1745662.1	OZG22539.1	0.426543874602972	0.610305467267866	0.698902266945874	44.8328015698779	0.705311038810572
KAF1745664.1	OZG22322.1	0.0126347387234595	0.227950491773563	0.0554275563310049	61	0.227950491773563
KAF1745665.1	OZG22321.1	0.00712118258274114	0.189624863910893	0.0375540550741673	43.120781571218	0.294691018254525
KAF1745666.1	OZG22318.1	1.30690953730673e-10	0.247257876121144	5.28561337583604e-10	51.3175733623315	0.304156075311805
KAF1745667.1	OZG22317.1	0.00525346512867472	0.233466555538282	0.0225020029809507	52.5178949898713	0.283311136704003
KAF1745668.1	OZG22320.1	0.00539126486244811	0.0546152574823666	0.0987135300824823	47.438091950433	0.134310996421164
KAF1745669.1	OZG22319.1	0.0321600586591544	0.273114358520773	0.117753086411633	46.180297752112	0.360201449598352
KAF1745670.1	OZG22314.1	0.0339165592752019	0.243947186074064	0.139032385743136	43.8527163342864	0.34471216969861
KAF1745671.1	OZG22313.1	0.0184268700553473	0.239020549984856	0.0770932459845601	58.9724737225047	0.25093518650298
KAF1745674.1	OZG22315.1	0.171701641776425	0.347767061305552	0.493726004791367	53.2498138765702	0.39331056504872
KAF1745675.1	OZG22503.1	0.0982325251286149	0.333960831414676	0.294143851278896	51.3648774340145	0.390581051066335
KAF1745676.1	OZG22504.1	0.0440895757960649	0.196554224868715	0.224312531697112	51.6307408922927	0.25161211385961
KAF1745677.1	OZG22501.1	0.271521174871739	0.53473205360884	0.507770523646894	52.9388819612472	0.582102730096488
KAF1745679.1	OZG22499.1	0.0982976645619262	0.360727897605432	0.272498094032764	57.1978725308766	0.383070871550088
KAF1745680.1	OZG22500.1	0.106646998990626	0.409616569094185	0.260358117901486	56.5888170576834	0.435538620983732
KAF1745681.1	OZG22497.1	0.129212408602397	0.357608075358318	0.361324079365177	56.3029644021214	0.385209923227115
KAF1745682.1	OZG22498.1	0.13678854101926	0.570998799488839	0.239560120164375	43.6955988334051	0.672687074680264
KAF1745683.1	OZG22495.1	0.0340699110678804	0.402350532537672	0.0846771864647412	51.6448952070118	0.457325244547379
KAF1745684.1	OZG22527.1	0.0205406343459828	0.323082341900502	0.0635770875782145	55.4133281981617	0.355912083543696
KAF1745685.1	OZG22525.1	0.166869743913957	0.512974013849572	0.325298629967035	50.2501726211074	0.576144729451991
KAF1745686.1	OZG22524.1	0.0282303542724264	0.280945284255611	0.100483460141448	53.325228774487	0.326045616876065
KAF1745687.1	OZG22523.1	0.0124668280513102	0.20678450450076	0.0602889857797073	47.5712231805698	0.285697905753533
KAF1745689.1	OZG22522.1	0.0604273566166591	0.448791456476502	0.134644623342608	56.3886160908506	0.475889977335585
KAF1745690.1	OZG22521.1	0.0267260142974268	0.349286843030261	0.0765159490851801	47.3802194173802	0.429322666437192
KAF1745691.1	OZG22413.1	0.0117359289441697	0.187797715607083	0.0624923945758958	35.2230559584522	0.339274380650596
KAF1745692.1	OZG22414.1	0.102971896928897	0.399071428975263	0.258028737344863	54.4242555325432	0.437713396793605
KAF1745693.1	OZG22416.1	0.0866098262704469	0.344102422416507	0.25169781038511	55.5248408073811	0.37627686690238
KAF1745694.1	OZG22415.1	0.132045712451879	0.527604586208372	0.250274004251602	57.1316485050599	0.550336721667298
KAF1745697.1	OZG22418.1	0.0124734851534367	0.269080768962556	0.0463559146256657	42.0782267271778	0.3802734342939
KAF1745700.1	OZG22420.1	0.0142828694581332	0.237175052386369	0.0602207918346563	46.6927733443936	0.32125061139444
KAF1745703.1	OZG22421.1	0.00273789556489331	0.134073485805185	0.0204208576248372	53.9545096912788	0.175475886874966
KAF1745704.1	OZG22473.1	0.0430223023824346	0.309633097388246	0.138946071157533	56.2674344036591	0.337443735161207
KAF1745705.1	OZG22471.1	0.008458037235712	0.157544850471052	0.0536865356780805	47.7079123391516	0.235655006084768
KAF1745706.1	OZG22464.1	0.00193884075332246	0.178829984114497	0.0108418102418501	42.5276805769474	0.287381460864901
KAF1745707.1	OZG22463.1	0.0111004457692812	0.278800648086341	0.0398149927034729	54.3557822706766	0.317844994919646
KAF1745708.1	OZG22466.1	0.0228998998831528	0.368518482990607	0.0621404378345291	49.6086916664265	0.435458822934352
KAF1745709.1	OZG22465.1	0.0188447876448521	0.236368142410861	0.0797264278199371	51.5888694969666	0.291672086144107
KAF1745710.1	OZG22468.1	0.00460682754885114	0.274420282660598	0.0167874892634989	48.841029728411	0.345871741923374
KAF1745711.1	OZG22467.1	0.0732370823905873	0.288000388936051	0.254295081548828	46.7107575661263	0.371970264744164
KAF1745712.1	OZG22470.1	0.00676117098939178	0.151913004498879	0.0445068610926044	54.4545461775683	0.190376971159169
KAF1745713.1	OZG22469.1	0.00149840441951193	0.226638296276657	0.00661143524341902	50.9582930716145	0.285647784538899
KAF1745714.1	OZG22368.1	0.00679027567686353	0.171694771171932	0.0395485292330997	50.8774893788035	0.231179097486756
KAF1745715.1	OZG22369.1	0.0664077584478031	0.335471126510531	0.197953722988194	45.7723441288731	0.424955532577856
KAF1745716.1	OZG22363.1	0.0444882478113756	0.202405747684019	0.219797354178042	56.2703935195963	0.230198996389722
KAF1745717.1	OZG22361.1	0.0132243216402239	0.256961960152929	0.0514641218970838	50.0253115672402	0.321454058246736
KAF1745718.1	OZG22366.1	0.0793834270820996	0.421838872754674	0.188184238602084	45.4960303829627	0.512947019971016
KAF1745719.1	OZG22367.1	0.0166063539076699	0.29963898349911	0.0554212062587617	49.7787096453933	0.365580222990535
KAF1745720.1	OZG22364.1	0.102696698908947	0.359245177886292	0.285867995537723	55.1988548687648	0.393335259181288
KAF1745721.1	OZG22365.1	0.111537235219169	0.231904232816548	0.480962481212678	51.7871094506602	0.28604323135631
KAF1745722.1	OZG22391.1	0.136303712484985	0.294899099539856	0.46220457335294	50.2346003061622	0.358161324916713
KAF1745723.1	OZG22390.1	0.0813305100382847	0.297433510217615	0.273440978384647	52.6338993140619	0.346596398932489
KAF1745724.1	OZG22396.1	0.0314811930890742	0.292556308338438	0.107607295388264	57.4925457069552	0.313167653044258
KAF1745725.1	OZG22395.1	0.00714862795525301	0.206515646094845	0.0346154303096721	50.5538982711695	0.267901536138214
KAF1745726.1	OZG22394.1	0.0107631882621043	0.260078790747605	0.0413843367664282	49.7166639902194	0.32638463780892
KAF1745728.1	OZG22392.1	0.0226122893770858	0.277405986834997	0.0815133430791302	44.1961343575668	0.376152895050817
KAF1745729.1	OZG22401.1	0.012036164797725	0.189955611731902	0.063363038806732	50.5706644974222	0.251242976052671
KAF1745730.1	OZG22400.1	0.00235672972979005	0.0687731376113873	0.0342681723074364	52.9562294094685	0.11604187286041
KAF1745732.1	OZG22399.1	0.00586738819739031	0.133909944665023	0.043815925785554	45.2117245919453	0.226688797803932
KAF1745733.1	OZG22397.1	0.00859142474774845	0.171457916820715	0.0501080667901272	46.6250441330469	0.255931482475513
KAF1745734.1	OZG22585.1	0.0123489498909284	0.0847374948556243	0.145731826412481	53.9819583692245	0.125978595416379
KAF1745735.1	OZG22586.1	0.00199695837666771	0.159921928729391	0.0124870828693346	54.9048871673953	0.195739493583422
KAF1745736.1	OZG22581.1	0.00510059126042478	0.168762688899598	0.0302234533810922	58.1770193369229	0.185351765387331
KAF1745737.1	OZG22582.1	0.00800358233008372	0.14004688912986	0.0571493046351234	49.5706248645428	0.207210926350866
KAF1745738.1	OZG22577.1	0.00412170375469816	0.158107929517332	0.0260689249886504	56.8673148362027	0.182393405921277
KAF1745739.1	OZG22578.1	0.00396440609936123	0.217503390252978	0.0182268703708491	57.5284409458963	0.237903798740875
KAF1745740.1	OZG22579.1	1.30771621593331e-10	0.0721122651579977	1.81344492933083e-09	46.711773691409	0.156076169766854
KAF1745741.1	OZG22580.1	0.0341879820324481	0.132011637143189	0.258977032421508	61	0.132011637143189
KAF1745742.1	OZG22303.1	0.0589663865000719	0.481934459494049	0.12235353861597	56.6133151453429	0.50771254984135
KAF1745743.1	OZG22302.1	0.00672155130087746	0.201665881712104	0.0333301361827435	50.396282531769	0.263977991191115
KAF1745744.1	OZG22312.1	0.010931381528999	0.173508330291957	0.0630020559278345	49.3573273462139	0.241925797581572
