Remanei_Gene,Latens_Gene,dN,dS,dN.dS,ENC,dS_corrected,dn.ds_corrected,cre1,cre2,cre3,cre4,clat1,clat2,clat3,clat4,ortho_names,C..remanei.Gene.name,C.latens.Gene.name,C..remanei.Gene.name_C.latens.Gene.name,chromosome,Module
KAF1749829.1,OZG13880.1,0.000889525018096731,0.0876691180663329,0.0101463894894402,39.537607943336,0.213791577243795,0.00416071123832147,KAF1749829.1,GCK72_016374,KAF1749829.1,remanei_genome_00000002,OZG13880.1,FL83_11738,OZG13880.1,latens_genome_00019874,remanei_genome_00000002_latens_genome_00019874,remanei_genome_00000002,latens_genome_00019874,remanei_genome_00000002_latens_genome_00019874,V,turquoise
KAF1749831.1,OZG13911.1,0.00849709769356619,0.248834412392161,0.0341475988464764,52.8843366254469,0.29652562127292,0.0286555261467458,KAF1749831.1,GCK72_016376,KAF1749831.1,remanei_genome_00000005,OZG13911.1,FL83_11741,OZG13911.1,latens_genome_00019877,remanei_genome_00000005_latens_genome_00019877,remanei_genome_00000005,latens_genome_00019877,remanei_genome_00000005_latens_genome_00019877,V,blue
KAF1749832.1,OZG13851.1,0.00319910080244999,0.108599978590734,0.0294576559218857,54.479822747248,0.146915409005896,0.0217751209631224,KAF1749832.1,GCK72_016377,KAF1749832.1,remanei_genome_00000006,OZG13851.1,FL83_11742,OZG13851.1,latens_genome_00019878,remanei_genome_00000006_latens_genome_00019878,remanei_genome_00000006,latens_genome_00019878,remanei_genome_00000006_latens_genome_00019878,V,turquoise
KAF1749833.1,OZG13850.1,0.0158603162886023,0.202575880102701,0.0782932118106139,57.316747659862,0.224220291484382,0.0707354190987975,KAF1749833.1,GCK72_016378,KAF1749833.1,remanei_genome_00000007,OZG13850.1,FL83_11743,OZG13850.1,latens_genome_00019879,remanei_genome_00000007_latens_genome_00019879,remanei_genome_00000007,latens_genome_00019879,remanei_genome_00000007_latens_genome_00019879,V,brown
KAF1749834.1,OZG13849.1,0.0178929357203483,0.211283659026547,0.084686794060586,47.6657454975077,0.289641605555173,0.0617761239309935,KAF1749834.1,GCK72_016379,KAF1749834.1,remanei_genome_00000008,OZG13849.1,FL83_11744,OZG13849.1,latens_genome_00019880,remanei_genome_00000008_latens_genome_00019880,remanei_genome_00000008,latens_genome_00019880,remanei_genome_00000008_latens_genome_00019880,V,yellow
KAF1749836.1,OZG13909.1,0.00856486906421849,0.155038105224159,0.0552436386644117,56.236814538241,0.183028678799058,0.0467952296897778,KAF1749836.1,GCK72_016381,KAF1749836.1,remanei_genome_00000010,OZG13909.1,FL83_11746,OZG13909.1,latens_genome_00019882,remanei_genome_00000010_latens_genome_00019882,remanei_genome_00000010,latens_genome_00019882,remanei_genome_00000010_latens_genome_00019882,V,brown
KAF1749837.1,OZG13908.1,0.0146517996152198,0.265289904175945,0.0552293901297597,49.9015673324325,0.330509177840946,0.0443309916866237,KAF1749837.1,GCK72_016382,KAF1749837.1,remanei_genome_00000011,OZG13908.1,FL83_11747,OZG13908.1,latens_genome_00019883,remanei_genome_00000011_latens_genome_00019883,remanei_genome_00000011,latens_genome_00019883,remanei_genome_00000011_latens_genome_00019883,V,blue
KAF1749845.1,OZG13855.1,0.0431461074255192,0.237079182357575,0.181990282725221,57.9568492682067,0.254962075043914,0.169225589406141,KAF1749845.1,GCK72_016390,KAF1749845.1,remanei_genome_00000015,OZG13855.1,FL83_11750,OZG13855.1,latens_genome_00019886,remanei_genome_00000015_latens_genome_00019886,remanei_genome_00000015,latens_genome_00019886,remanei_genome_00000015_latens_genome_00019886,V,brown
KAF1749849.1,OZG13858.1,0.0668163103119265,0.280740030329085,0.238000652182035,61,0.280740030329085,0.238000652182035,KAF1749849.1,GCK72_016394,KAF1749849.1,remanei_genome_00000017,OZG13858.1,FL83_11753,OZG13858.1,latens_genome_00019889,remanei_genome_00000017_latens_genome_00019889,remanei_genome_00000017,latens_genome_00019889,remanei_genome_00000017_latens_genome_00019889,V,blue
KAF1749850.1,OZG13859.1,0.0384104645351471,0.127849939835052,0.300433966450849,51.2275643232477,0.185277071743346,0.207313642069835,KAF1749850.1,GCK72_016395,KAF1749850.1,remanei_genome_00000018,OZG13859.1,FL83_11754,OZG13859.1,latens_genome_00019890,remanei_genome_00000018_latens_genome_00019890,remanei_genome_00000018,latens_genome_00019890,remanei_genome_00000018_latens_genome_00019890,V,yellow
KAF1749857.1,OZG13862.1,0.00943497694065134,0.136497692099888,0.0691218788794383,47.7504542357066,0.214357852811012,0.0440150748709433,KAF1749857.1,GCK72_016402,KAF1749857.1,remanei_genome_00000019,OZG13862.1,FL83_11757,OZG13862.1,latens_genome_00019895,remanei_genome_00000019_latens_genome_00019895,remanei_genome_00000019,latens_genome_00019895,remanei_genome_00000019_latens_genome_00019895,V,black
KAF1749858.1,OZG13853.1,0.0179251336470594,0.132734376985002,0.135045148470353,53.8760253703951,0.174597986457397,0.102665179655054,KAF1749858.1,GCK72_016403,KAF1749858.1,remanei_genome_00000020,OZG13853.1,FL83_11758,OZG13853.1,latens_genome_00019897,remanei_genome_00000020_latens_genome_00019897,remanei_genome_00000020,latens_genome_00019897,remanei_genome_00000020_latens_genome_00019897,V,green
KAF1749865.1,OZG13891.1,0.0108906589050649,0.133806146650707,0.0813913200377437,46.3011629681419,0.220182980538199,0.04946185612732,KAF1749865.1,GCK72_016410,KAF1749865.1,remanei_genome_00000027,OZG13891.1,FL83_11762,OZG13891.1,latens_genome_00019901,remanei_genome_00000027_latens_genome_00019901,remanei_genome_00000027,latens_genome_00019901,remanei_genome_00000027_latens_genome_00019901,V,brown
KAF1749866.1,OZG13890.1,0.00211943137056909,0.149182775414712,0.0142069442311775,56.5435059118175,0.175371095534272,0.0120854087391779,KAF1749866.1,GCK72_016411,KAF1749866.1,remanei_genome_00000028,OZG13890.1,FL83_11763,OZG13890.1,latens_genome_00019902,remanei_genome_00000028_latens_genome_00019902,remanei_genome_00000028,latens_genome_00019902,remanei_genome_00000028_latens_genome_00019902,V,red
KAF1749868.1,OZG13885.1,0.018181393917752,0.151762061351503,0.119801969977472,53.5346469793514,0.195631760456164,0.0929368210732121,KAF1749868.1,GCK72_016413,KAF1749868.1,remanei_genome_00000029,OZG13885.1,FL83_11764,OZG13885.1,latens_genome_00019903,remanei_genome_00000029_latens_genome_00019903,remanei_genome_00000029,latens_genome_00019903,remanei_genome_00000029_latens_genome_00019903,V,brown
KAF1749869.1,OZG13884.1,0.00689836350245524,0.165430202500322,0.0416995409435095,55.3465803912936,0.198652183625709,0.0347258377761042,KAF1749869.1,GCK72_016414,KAF1749869.1,remanei_genome_00000030,OZG13884.1,FL83_11765,OZG13884.1,latens_genome_00019904,remanei_genome_00000030_latens_genome_00019904,remanei_genome_00000030,latens_genome_00019904,remanei_genome_00000030_latens_genome_00019904,V,blue
KAF1749870.1,OZG13892.1,0.00797023774220789,0.217263495971007,0.0366846612063699,55.0610333087143,0.252163477394346,0.0316074231866006,KAF1749870.1,GCK72_016415,KAF1749870.1,remanei_genome_00000032,OZG13892.1,FL83_11768,OZG13892.1,latens_genome_00019906,remanei_genome_00000032_latens_genome_00019906,remanei_genome_00000032,latens_genome_00019906,remanei_genome_00000032_latens_genome_00019906,V,blue
KAF1749872.1,OZG13918.1,0.0236749083360245,0.219241296485788,0.107985624585828,55.9764339130817,0.248761981181598,0.0951709269381548,KAF1749872.1,GCK72_016417,KAF1749872.1,remanei_genome_00000033,OZG13918.1,FL83_11770,OZG13918.1,latens_genome_00019908,remanei_genome_00000033_latens_genome_00019908,remanei_genome_00000033,latens_genome_00019908,remanei_genome_00000033_latens_genome_00019908,V,blue
KAF1749873.1,OZG13919.1,0.0287167747108034,0.260277872990712,0.110331217866638,53.1350996388221,0.306495488069152,0.0936939557959309,KAF1749873.1,GCK72_016418,KAF1749873.1,remanei_genome_00000034,OZG13919.1,FL83_11771,OZG13919.1,latens_genome_00019909,remanei_genome_00000034_latens_genome_00019909,remanei_genome_00000034,latens_genome_00019909,remanei_genome_00000034_latens_genome_00019909,V,blue
KAF1749874.1,OZG13916.1,0.00294945475675781,0.362725535309682,0.00813136785156211,41.3636945285248,0.478117106234478,0.00616889610996545,KAF1749874.1,GCK72_016419,KAF1749874.1,remanei_genome_00000035,OZG13916.1,FL83_11772,OZG13916.1,latens_genome_00019910,remanei_genome_00000035_latens_genome_00019910,remanei_genome_00000035,latens_genome_00019910,remanei_genome_00000035_latens_genome_00019910,V,brown
KAF1749876.1,OZG13917.1,0.0223727309924438,0.214989627162935,0.104064234575783,49.7375471334974,0.281172755685766,0.0795693414103292,KAF1749876.1,GCK72_016421,KAF1749876.1,remanei_genome_00000037,OZG13917.1,FL83_11773,OZG13917.1,latens_genome_00019911,remanei_genome_00000037_latens_genome_00019911,remanei_genome_00000037,latens_genome_00019911,remanei_genome_00000037_latens_genome_00019911,V,blue
KAF1749877.1,OZG13914.1,0.00545024899443942,0.205369158775348,0.0265387900838676,53.6573808539646,0.248517619629876,0.0219310365299516,KAF1749877.1,GCK72_016422,KAF1749877.1,remanei_genome_00000038,OZG13914.1,FL83_11774,OZG13914.1,latens_genome_00019912,remanei_genome_00000038_latens_genome_00019912,remanei_genome_00000038,latens_genome_00019912,remanei_genome_00000038_latens_genome_00019912,V,blue
KAF1749878.1,OZG13913.1,0.00079595628704744,0.167023376399139,0.00476553823906259,51.9159952087401,0.22040498551469,0.00361133522088315,KAF1749878.1,GCK72_016423,KAF1749878.1,remanei_genome_00000039,OZG13913.1,FL83_11777,OZG13913.1,latens_genome_00019915,remanei_genome_00000039_latens_genome_00019915,remanei_genome_00000039,latens_genome_00019915,remanei_genome_00000039_latens_genome_00019915,V,turquoise
